!
!
# Shaft  g  6
# Hole   H  7
!
Key     A_9     A_11     A_13     B_9     B_11     B_12     B_13     C_8     C_9     C_11     C_12     C_13     CD_9     D_6     D_7     D_8     D_9     D_10     D_11     D_12     E_5     E_6     E_7     E_8     E_9     E_10     F_5     F_6     F_7     F_8     F_9     F_10     FG_5     FG_6     G_5     G_6     G_7     H_01     H_1     H_2     H_3     H_4     H_5     H_6     H_7     H_8     H_9     H_10     H_11     H_12     H_13     H_14     H_15     H_16     H_17     H_18     J_6     J_7     J_8     JS_01     JS_1     JS_2     JS_3     JS_4     JS_5     JS_6     JS_7     JS_8     JS_9     JS_10     JS_11     JS_12     JS_13     JS_14     JS_15     JS_16     JS_17     JS_18     K_5     K_6     K_7     K_8     M_5     M_6     M_7     M_8     N_5     N_6     N_7     N_8     N_9     N_10     P_5     P_6     P_7     P_8     P_9     R_6     R_7     R_8     S_6     S_7     T_6     T_7     U_7     U_8     Z_8     a_9     a_11     a_13     b_9     b_11     b_12     b_13     c_8     c_9     c_11     c_12     cd_9     d_6     d_7     d_8     d_9     d_10     d_11     d_12     e_5     e_6     e_7     e_8     e_9     f_4     f_5     f_6     f_7     f_8     f_9     fg_4     fg_5     fg_6     g_4     g_5     g_6     g_7     g_8     h_01     h_1     h_2     h_3     h_4     h_5     h_6     h_7     h_8     h_9     h_10     h_11     h_12     h_13     h_14     h_15     h_16     h_17     h_18     j_5     j_6     j_7     js_01     js_1     js_2     js_3     js_4     js_5     js_6     js_7     js_8     js_9     js_10     js_11     js_12     js_13     js_14     js_15     js_16     js_17     js_18     k_4     k_5     k_6     k_7     m_4     m_5     m_6     m_7     n_4     n_5     n_6     n_7     p_4     p_5     p_6     p_7     r_5     r_6     r_7     s_5     s_6     s_7     s_8     t_5     t_6     t_7     u_5     u_6     u_7     u_8     v_6     v_7     x_6     x_7     x_8     x_9     z_6     z_7     z_8     z_9     za_8     zc_8     zd_8
Basic size(mm)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
0~3     0.295     0.33     0.41     0.165     0.2     0.24     0.28     0.074     0.085     0.12     0.16     0.2     0.059     0.026     0.03     0.034     0.045     0.06     0.08     0.12     0.018     0.02     0.024     0.028     0.039     0.054     0.014     0.016     0.02     0.024     0.035     0.046     0.008     0.01     0.006     0.008     0.012     0.0003     0.0008     0.0012     0.002     0.003     0.004     0.006     0.01     0.014     0.025     0.04     0.06     0.1     0.14     0.25     0.4     0.6     1     1.4     0.002     0.004     0.006     0.00015     0.0004     0.0006     0.001     0.0015     0.002     0.003     0.005     0.007     0.012     0.02     0.03     0.05     0.07     0.125     0.2     0.3     0.5     0.7     0     0     0     0     -0.002     -0.002     -0.002     -0.002     -0.004     -0.004     -0.004     -0.004     -0.004     -0.004     -0.006     -0.006     -0.006     -0.006     -0.006     -0.01     -0.01     -0.01     -0.014     -0.014     0     0     -0.018     -0.018     -0.026     -0.27     -0.27     -0.27     -0.14     -0.14     -0.14     -0.14     -0.06     -0.06     -0.06     -0.06     -0.034     -0.02     -0.02     -0.02     -0.02     -0.02     -0.02     -0.02     -0.014     -0.014     -0.014     -0.014     -0.014     -0.006     -0.006     -0.006     -0.006     -0.006     -0.006     -0.004     -0.004     -0.004     -0.002     -0.002     -0.002     -0.002     -0.002     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0.002     0.004     0.006     0.00015     0.0004     0.0006     0.001     0.0015     0.002     0.003     0.005     0.007     0.012     0.02     0.03     0.05     0.07     0.125     0.2     0.3     0.5     0.7     0.003     0.004     0.006     0.01     0.005     0.006     0.008     0.012     0.007     0.008     0.01     0.014     0.009     0.01     0.012     0.016     0.014     0.016     0.02     0.018     0.02     0.024     0.028     0.004     0.006     0.01     0.022     0.024     0.028     0.032     0.006     0.01     0.026     0.03     0.034     0.045     0.032     0.036     0.04     0.051     0.046     0.074     0.014
0~3     0.27     0.27     0.27     0.14     0.14     0.14     0.14     0.06     0.06     0.06     0.06     0.06     0.034     0.02     0.02     0.02     0.02     0.02     0.02     0.02     0.014     0.014     0.014     0.014     0.014     0.014     0.01     0.01     0.01     0.01     0.01     0.006     0.004     0.004     0.002     0.002     0.002     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     -0.004     -0.006     -0.008     -0.00015     -0.0004     -0.0006     -0.001     -0.0015     -0.002     -0.003     -0.005     -0.007     -0.012     -0.02     -0.03     -0.05     -0.07     -0.125     -0.2     -0.3     -0.5     -0.7     -0.004     -0.006     -0.01     -0.014     -0.006     -0.008     -0.012     -0.016     -0.008     -0.01     -0.014     -0.018     -0.029     -0.044     -0.01     -0.012     -0.016     -0.02     -0.031     -0.016     -0.02     -0.024     -0.02     -0.024     -0.006     -0.01     -0.028     -0.032     -0.04     -0.295     -0.33     -0.41     -0.165     -0.2     -0.24     -0.28     -0.074     -0.085     -0.12     -0.16     -0.059     -0.026     -0.03     -0.034     -0.045     -0.06     -0.08     -0.12     -0.018     -0.02     -0.024     -0.028     -0.039     -0.009     -0.01     -0.012     -0.016     -0.02     -0.031     -0.007     -0.008     -0.01     -0.005     -0.006     -0.008     -0.012     -0.016     -0.0003     -0.0008     -0.0012     -0.002     -0.003     -0.004     -0.006     -0.01     -0.014     -0.025     -0.04     -0.06     -0.1     -0.14     -0.25     -0.4     -0.6     -1     -1.4     -0.002     -0.002     -0.004     -0.00015     -0.0004     -0.0006     -0.001     -0.0015     -0.002     -0.003     -0.005     -0.007     -0.012     -0.02     -0.03     -0.05     -0.07     -0.125     -0.2     -0.3     -0.5     -0.7     0     0     0     0     0.002     0.002     0.002     0.002     0.004     0.004     0.004     0.004     0.006     0.006     0.006     0.006     0.01     0.01     0.01     0.014     0.014     0.014     0.014     0     0     0     0.018     0.018     0.018     0.018     0     0     0.02     0.02     0.02     0.02     0.026     0.026     0.026     0.026     0.032     0.06     0
3~6     0.3     0.345     0.45     0.17     0.215     0.26     0.32     0.088     0.1     0.145     0.19     0.25     0.076     0.038     0.042     0.048     0.06     0.078     0.105     0.15     0.025     0.028     0.032     0.038     0.05     0.068     0.019     0.022     0.026     0.032     0.044     0.058     0.011     0.014     0.009     0.012     0.016     0.0004     0.001     0.0015     0.0025     0.004     0.005     0.008     0.012     0.018     0.03     0.048     0.075     0.12     0.18     0.3     0.48     0.75     1.2     1.8     0.005     0.006     0.01     0.0002     0.0005     0.00075     0.00125     0.002     0.0025     0.004     0.006     0.009     0.015     0.024     0.037     0.06     0.09     0.15     0.24     0.375     0.6     0.9     0.001     0.002     0.003     0.005     -0.002     -0.001     0     0.002     -0.006     -0.005     -0.004     -0.002     -0.008     -0.008     -0.01     -0.009     -0.008     -0.012     -0.012     -0.012     -0.011     -0.015     -0.016     -0.015     0.003     0.004     -0.019     -0.023     -0.035     -0.27     -0.27     -0.27     -0.14     -0.14     -0.14     -0.14     -0.07     -0.07     -0.07     -0.07     -0.046     -0.03     -0.03     -0.03     -0.03     -0.03     -0.03     -0.03     -0.02     -0.02     -0.02     -0.02     -0.02     -0.01     -0.01     -0.01     -0.01     -0.01     -0.01     -0.006     -0.006     -0.006     -0.004     -0.004     -0.004     -0.004     -0.004     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0.003     0.006     0.008     0.0002     0.0005     0.00075     0.00125     0.002     0.0025     0.004     0.006     0.009     0.015     0.024     0.037     0.06     0.09     0.15     0.24     0.375     0.6     0.9     0.005     0.006     0.009     0.013     0.008     0.009     0.012     0.016     0.012     0.013     0.016     0.02     0.016     0.017     0.02     0.024     0.02     0.023     0.027     0.024     0.027     0.031     0.037     0.005     0.008     0.012     0.028     0.031     0.035     0.041     0.008     0.012     0.036     0.04     0.046     0.058     0.043     0.047     0.053     0.065     0.06     0.098     0.018
3~6     0.27     0.27     0.27     0.14     0.14     0.14     0.14     0.07     0.07     0.07     0.07     0.07     0.046     0.03     0.03     0.03     0.03     0.03     0.03     0.03     0.02     0.02     0.02     0.02     0.02     0.02     0.014     0.014     0.014     0.014     0.014     0.01     0.006     0.006     0.004     0.004     0.004     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     -0.003     -0.006     -0.008     -0.0002     -0.0005     -0.00075     -0.00125     -0.002     -0.0025     -0.004     -0.006     -0.009     -0.015     -0.024     -0.037     -0.06     -0.09     -0.15     -0.24     -0.375     -0.6     -0.9     -0.004     -0.006     -0.009     -0.013     -0.007     -0.009     -0.012     -0.016     -0.011     -0.013     -0.016     -0.02     -0.038     -0.056     -0.015     -0.017     -0.02     -0.03     -0.042     -0.02     -0.023     -0.033     -0.024     -0.027     -0.005     -0.008     -0.031     -0.041     -0.053     -0.3     -0.345     -0.45     -0.17     -0.215     -0.26     -0.32     -0.088     -0.1     -0.145     -0.19     -0.076     -0.038     -0.042     -0.048     -0.06     -0.078     -0.105     -0.15     -0.025     -0.028     -0.032     -0.038     -0.05     -0.014     -0.015     -0.018     -0.022     -0.028     -0.04     -0.01     -0.011     -0.014     -0.008     -0.009     -0.012     -0.016     -0.022     -0.0004     -0.001     -0.0015     -0.0025     -0.004     -0.005     -0.008     -0.012     -0.018     -0.03     -0.048     -0.075     -0.12     -0.18     -0.3     -0.48     -0.75     -1.2     -1.8     -0.002     -0.002     -0.004     -0.0002     -0.0005     -0.00075     -0.00125     -0.002     -0.0025     -0.004     -0.006     -0.009     -0.015     -0.024     -0.037     -0.06     -0.09     -0.15     -0.24     -0.375     -0.6     -0.9     0.001     0.001     0.001     0.001     0.004     0.004     0.004     0.004     0.008     0.008     0.008     0.008     0.012     0.012     0.012     0.012     0.015     0.015     0.015     0.019     0.019     0.019     0.019     0     0     0     0.023     0.023     0.023     0.023     0     0     0.028     0.028     0.028     0.028     0.035     0.035     0.035     0.035     0.042     0.08     0
6~10     0.316     0.37     0.5     0.186     0.24     0.3     0.37     0.102     0.116     0.17     0.23     0.3     0.092     0.049     0.055     0.062     0.076     0.098     0.13     0.19     0.031     0.034     0.04     0.047     0.061     0.083     0.024     0.027     0.033     0.04     0.054     0.071     0.014     0.017     0.011     0.014     0.02     0.0004     0.001     0.0015     0.0025     0.004     0.006     0.009     0.015     0.022     0.036     0.058     0.09     0.15     0.22     0.36     0.58     0.9     1.5     2.2     0.005     0.008     0.012     0.0002     0.0005     0.00075     0.00125     0.002     0.003     0.0045     0.007     0.011     0.018     0.029     0.045     0.075     0.11     0.18     0.29     0.45     0.75     1.1     0.001     0.002     0.005     0.006     -0.004     -0.003     0     0.001     -0.008     -0.007     -0.004     -0.003     -0.01     -0.01     -0.013     -0.012     -0.009     -0.015     -0.015     -0.016     -0.013     -0.019     -0.02     -0.017     0.003     0.006     -0.022     -0.028     -0.042     -0.28     -0.28     -0.28     -0.15     -0.15     -0.15     -0.15     -0.08     -0.08     -0.08     -0.08     -0.056     -0.04     -0.04     -0.04     -0.04     -0.04     -0.04     -0.04     -0.025     -0.025     -0.025     -0.025     -0.025     -0.013     -0.013     -0.013     -0.013     -0.013     -0.013     -0.008     -0.008     -0.008     -0.005     -0.005     -0.005     -0.005     -0.005     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0.004     0.007     0.01     0.0002     0.0005     0.00075     0.00125     0.002     0.003     0.0045     0.007     0.011     0.018     0.029     0.045     0.075     0.11     0.18     0.29     0.45     0.75     1.1     0.005     0.007     0.01     0.016     0.01     0.012     0.015     0.021     0.014     0.016     0.019     0.025     0.019     0.021     0.024     0.03     0.025     0.028     0.034     0.029     0.032     0.038     0.045     0.006     0.009     0.015     0.034     0.037     0.043     0.05     0.009     0.015     0.043     0.049     0.056     0.07     0.051     0.057     0.064     0.078     0.074     0.119     0.022
6~10     0.28     0.28     0.28     0.15     0.15     0.15     0.15     0.08     0.08     0.08     0.08     0.08     0.056     0.04     0.04     0.04     0.04     0.04     0.04     0.04     0.025     0.025     0.025     0.025     0.025     0.025     0.018     0.018     0.018     0.018     0.018     0.013     0.008     0.008     0.005     0.005     0.005     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     -0.004     -0.007     -0.01     -0.0002     -0.0005     -0.00075     -0.00125     -0.002     -0.003     -0.0045     -0.007     -0.011     -0.018     -0.029     -0.045     -0.075     -0.11     -0.18     -0.29     -0.45     -0.75     -1.1     -0.005     -0.007     -0.01     -0.016     -0.01     -0.012     -0.015     -0.021     -0.014     -0.016     -0.019     -0.025     -0.046     -0.068     -0.019     -0.021     -0.024     -0.037     -0.051     -0.025     -0.028     -0.041     -0.029     -0.032     -0.006     -0.009     -0.037     -0.05     -0.064     -0.316     -0.37     -0.5     -0.186     -0.24     -0.3     -0.37     -0.102     -0.116     -0.17     -0.23     -0.092     -0.049     -0.055     -0.062     -0.076     -0.098     -0.13     -0.19     -0.031     -0.034     -0.04     -0.047     -0.061     -0.017     -0.019     -0.022     -0.028     -0.035     -0.049     -0.012     -0.014     -0.017     -0.009     -0.011     -0.014     -0.02     -0.027     -0.0004     -0.001     -0.0015     -0.0025     -0.004     -0.006     -0.009     -0.015     -0.022     -0.036     -0.058     -0.09     -0.15     -0.22     -0.36     -0.58     -0.9     -1.5     -2.2     -0.002     -0.002     -0.005     -0.0002     -0.0005     -0.00075     -0.00125     -0.002     -0.003     -0.0045     -0.007     -0.011     -0.018     -0.029     -0.045     -0.075     -0.11     -0.18     -0.29     -0.45     -0.75     -1.1     0.001     0.001     0.001     0.001     0.006     0.006     0.006     0.006     0.01     0.01     0.01     0.01     0.015     0.015     0.015     0.015     0.019     0.019     0.019     0.023     0.023     0.023     0.023     0     0     0     0.028     0.028     0.028     0.028     0     0     0.034     0.034     0.034     0.034     0.042     0.042     0.042     0.042     0.052     0.097     0
10~14     0.333     0.4     0.56     0.193     0.26     0.33     0.42     0.122     0.138     0.205     0.275     0.365     0.043     0.061     0.068     0.077     0.093     0.12     0.16     0.23     0.04     0.043     0.05     0.059     0.075     0.102     0.008     0.011     0.018     0.027     0.043     0.086     0.008     0.011     0.014     0.017     0.024     0.0005     0.0012     0.002     0.003     0.005     0.008     0.011     0.018     0.027     0.043     0.07     0.11     0.18     0.27     0.43     0.7     1.1     1.8     2.7     0.006     0.01     0.015     0.00025     0.0006     0.001     0.0015     0.0025     0.004     0.0055     0.009     0.013     0.021     0.035     0.055     0.09     0.135     0.215     0.35     0.55     0.9     1.35     0.002     0.002     0.006     0.008     -0.004     -0.004     0     0.002     -0.009     -0.009     -0.005     -0.003     -0.012     -0.012     -0.015     -0.015     -0.011     -0.018     -0.018     -0.02     -0.016     -0.023     -0.025     -0.021     0.003     0.007     -0.026     -0.033     -0.05     -0.29     -0.29     -0.29     -0.15     -0.15     -0.15     -0.15     -0.095     -0.095     -0.095     -0.095     0     -0.05     -0.05     -0.05     -0.05     -0.05     -0.05     -0.05     -0.032     -0.032     -0.032     -0.032     -0.032     -0.016     -0.016     -0.016     -0.016     -0.016     -0.016     0     0     0     -0.006     -0.006     -0.006     -0.006     -0.006     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0.005     0.008     0.012     0.00025     0.0006     0.001     0.0015     0.0025     0.004     0.0055     0.009     0.013     0.021     0.035     0.055     0.09     0.135     0.215     0.35     0.55     0.9     1.35     0.006     0.009     0.012     0.019     0.012     0.015     0.018     0.025     0.017     0.02     0.023     0.03     0.023     0.026     0.029     0.036     0.031     0.034     0.041     0.036     0.039     0.046     0.055     0.008     0.011     0.018     0.041     0.044     0.051     0.06     0.011     0.018     0.051     0.058     0.067     0.083     0.061     0.068     0.077     0.093     0.091     0.157     0.027
10~14     0.29     0.29     0.29     0.15     0.15     0.15     0.15     0.095     0.095     0.095     0.095     0.095     0     0.05     0.05     0.05     0.05     0.05     0.05     0.05     0.032     0.032     0.032     0.032     0.032     0.032     0     0     0     0     0     0.016     0     0     0.006     0.006     0.006     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     -0.005     -0.008     -0.012     -0.00025     -0.0006     -0.001     -0.0015     -0.0025     -0.004     -0.0055     -0.009     -0.013     -0.021     -0.035     -0.055     -0.09     -0.135     -0.215     -0.35     -0.55     -0.9     -1.35     -0.006     -0.009     -0.012     -0.019     -0.012     -0.015     -0.018     -0.025     -0.017     -0.02     -0.023     -0.03     -0.055     -0.082     -0.023     -0.026     -0.029     -0.045     -0.061     -0.031     -0.034     -0.05     -0.036     -0.039     -0.008     -0.011     -0.044     -0.06     -0.077     -0.333     -0.4     -0.56     -0.193     -0.26     -0.33     -0.42     -0.122     -0.138     -0.205     -0.275     -0.043     -0.061     -0.068     -0.077     -0.093     -0.12     -0.16     -0.23     -0.04     -0.043     -0.05     -0.059     -0.075     -0.021     -0.024     -0.027     -0.034     -0.043     -0.059     -0.005     -0.008     -0.011     -0.011     -0.014     -0.017     -0.024     -0.033     -0.0005     -0.0012     -0.002     -0.003     -0.005     -0.008     -0.011     -0.018     -0.027     -0.043     -0.07     -0.11     -0.18     -0.27     -0.43     -0.7     -1.1     -1.8     -2.7     -0.003     -0.003     -0.006     -0.00025     -0.0006     -0.001     -0.0015     -0.0025     -0.004     -0.0055     -0.009     -0.013     -0.021     -0.035     -0.055     -0.09     -0.135     -0.215     -0.35     -0.55     -0.9     -1.35     0.001     0.001     0.001     0.001     0.007     0.007     0.007     0.007     0.012     0.012     0.012     0.012     0.018     0.018     0.018     0.018     0.023     0.023     0.023     0.028     0.028     0.028     0.028     0     0     0     0.033     0.033     0.033     0.033     0     0     0.04     0.04     0.04     0.04     0.05     0.05     0.05     0.05     0.064     0.13     0
14~18     0.333     0.4     0.56     0.193     0.26     0.33     0.42     0.122     0.138     0.205     0.275     0.365     0.043     0.061     0.068     0.077     0.093     0.12     0.16     0.23     0.04     0.043     0.05     0.059     0.075     0.102     0.008     0.011     0.018     0.027     0.043     0.086     0.008     0.011     0.014     0.017     0.024     0.0005     0.0012     0.002     0.003     0.005     0.008     0.011     0.018     0.027     0.043     0.07     0.11     0.18     0.27     0.43     0.7     1.1     1.8     2.7     0.006     0.01     0.015     0.00025     0.0006     0.001     0.0015     0.0025     0.004     0.0055     0.009     0.013     0.021     0.035     0.055     0.09     0.135     0.215     0.35     0.55     0.9     1.35     0.002     0.002     0.006     0.008     -0.004     -0.004     0     0.002     -0.009     -0.009     -0.005     -0.003     -0.012     -0.012     -0.015     -0.015     -0.011     -0.018     -0.018     -0.02     -0.016     -0.023     -0.025     -0.021     0.003     0.007     -0.026     -0.033     -0.06     -0.29     -0.29     -0.29     -0.15     -0.15     -0.15     -0.15     -0.095     -0.095     -0.095     -0.095     0     -0.05     -0.05     -0.05     -0.05     -0.05     -0.05     -0.05     -0.032     -0.032     -0.032     -0.032     -0.032     -0.016     -0.016     -0.016     -0.016     -0.016     -0.016     0     0     0     -0.006     -0.006     -0.006     -0.006     -0.006     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0.005     0.008     0.012     0.00025     0.0006     0.001     0.0015     0.0025     0.004     0.0055     0.009     0.013     0.021     0.035     0.055     0.09     0.135     0.215     0.35     0.55     0.9     1.35     0.006     0.009     0.012     0.019     0.012     0.015     0.018     0.025     0.017     0.02     0.023     0.03     0.023     0.026     0.029     0.036     0.031     0.034     0.041     0.036     0.039     0.046     0.055     0.008     0.011     0.018     0.041     0.044     0.051     0.06     0.05     0.057     0.056     0.063     0.072     0.088     0.071     0.078     0.087     0.103     0.104     0.177     0.027
