!                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
!                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
# Shaft  g  6                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
# Hole   H  7                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
!                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
Key     C_10     C_11     CD_10     CD_11     D_10     D_11     D_8     D_9     E_7     E_8     E_9     F_7     F_8     F_9     G_6     G_7     H__01     H__1     H_2     H_3     H_4     H_5     H_6     H_7     H_8     H_9     H__10     H__11     H__12     H__13     H__14     H__15     H__16     H__17     H_18     JS_01     JS_1     JS_2     JS_3     JS_4     JS_5     JS_6     JS_7     JS_8     JS_9     JS_10     JS_11     JS_12     JS_13     JS_14     JS_15     JS_16     JS_17     JS_18     K_6     K_7     M_6     M_7     N_6     N_7     P_7     R_7     S_7     T_7     U_8     c_10     c_11     cd_10     cd_11     d_10     d_11     d_8     d_9     e_7     e_8     e_9     f_6     f_7     f_8     f_9     g_6     g_7     h_01     h_1     h_2     h_3     h_4     h_5     h_6     h_7     h_8     h_9     h_10     h_11     h_12     h_13     h_14     h_15     h_16     h_17     h_18     js_01     js_1     js_2     js_3     js_4     js_5     js_6     js_7     js_8     js_9     js_10     js_11     js_12     js_13     js_14     js_15     js_16     js_17     js_18     k_6     k_7     m_6     n_6     n_7     p_6     p_7     r_6     r_7     s_6     s_7     t_6     t_7     t_8     u_6     u_7     u_8     v_7     v_8
Basic size(mm)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
500~560     E     0.96     0.81     E     0.54     0.7     0.37     0.435     0.215     0.255     0.32     0.146     0.186     0.251     0.066     0.092     0.0045     0.009     0.011     0.016     0.022     0.03     0.044     0.07     0.11     0.175     0.28     0.44     0.7     1.1     1.75     2.8     4.4     7     11     0.00225     0.0045     0.0055     0.008     0.011     0.015     0.022     0.035     0.055     0.0875     0.14     0.22     0.35     0.55     0.875     1.4     2.2     3.5     5.5     0     0     -0.026     -0.026     -0.044     -0.044     -0.078     -0.15     -0.28     -0.4     -0.6     E     -0.52     E     -0.37     -0.26     -0.26     -0.26     -0.26     -0.145     -0.145     -0.145     -0.076     -0.076     -0.076     -0.076     -0.022     -0.022     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0.00225     0.0045     0.0055     0.008     0.011     0.015     0.022     0.035     0.055     0.0875     0.14     0.22     0.35     0.55     0.875     1.4     2.2     3.5     5.5     0.044     0.07     0.07     0.088     0.114     0.122     0.148     0.194     0.22     0.324     0.35     0.444     0.47     0.51     0.644     0.67     0.71     0.81     0.85
500~560     E     0.52     0.37     E     0.26     0.26     0.26     0.26     0.145     0.145     0.145     0.076     0.076     0.076     0.022     0.022     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     -0.00225     -0.0045     -0.0055     -0.008     -0.011     -0.015     -0.022     -0.035     -0.055     -0.0875     -0.14     -0.22     -0.35     -0.55     -0.875     -1.4     -2.2     -3.5     -5.5     -0.044     -0.07     -0.07     -0.096     -0.088     -0.114     -0.148     -0.22     -0.35     -0.47     -0.71     E     -0.96     E     -0.81     -0.54     -0.7     -0.37     -0.435     -0.215     -0.255     -0.32     -0.12     -0.146     -0.186     -0.251     -0.066     -0.092     -0.0045     -0.009     -0.011     -0.016     -0.022     -0.03     -0.044     -0.07     -0.11     -0.175     -0.28     -0.44     -0.7     -1.1     -1.75     -2.8     -4.4     -7     -11     -0.00225     -0.0045     -0.0055     -0.008     -0.011     -0.015     -0.022     -0.035     -0.055     -0.0875     -0.14     -0.22     -0.35     -0.55     -0.875     -1.4     -2.2     -3.5     -5.5     0     0     0.026     0.044     0.044     0.078     0.078     0.15     0.15     0.28     0.28     0.4     0.4     0.4     0.6     0.6     0.6     0.74     0.74
560~630     E     1.02     0.83     E     0.54     0.7     0.37     0.435     0.215     0.255     0.32     0.146     0.186     0.251     0.066     0.092     0.0045     0.009     0.011     0.016     0.022     0.03     0.044     0.07     0.11     0.175     0.28     0.44     0.7     1.1     1.75     2.8     4.4     7     11     0.00225     0.0045     0.0055     0.008     0.011     0.015     0.022     0.035     0.055     0.0875     0.14     0.22     0.35     0.55     0.875     1.4     2.2     3.5     5.5     0     0     -0.026     -0.026     -0.044     -0.044     -0.078     -0.155     -0.31     -0.45     -0.66     E     -0.58     E     -0.39     -0.26     -0.26     -0.26     -0.26     -0.145     -0.145     -0.145     -0.076     -0.076     -0.076     -0.076     -0.022     -0.022     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0.00225     0.0045     0.0055     0.008     0.011     0.015     0.022     0.035     0.055     0.0875     0.14     0.22     0.35     0.55     0.875     1.4     2.2     3.5     5.5     0.044     0.07     0.07     0.088     0.114     0.122     0.148     0.199     0.225     0.354     0.38     0.494     0.52     0.56     0.704     0.73     0.77     0.89     0.93
560~630     E     0.58     0.39     E     0.26     0.26     0.26     0.26     0.145     0.145     0.145     0.076     0.076     0.076     0.022     0.022     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     -0.00225     -0.0045     -0.0055     -0.008     -0.011     -0.015     -0.022     -0.035     -0.055     -0.0875     -0.14     -0.22     -0.35     -0.55     -0.875     -1.4     -2.2     -3.5     -5.5     -0.044     -0.07     -0.07     -0.096     -0.088     -0.114     -0.148     -0.225     -0.38     -0.52     -0.77     E     -1.02     E     -0.83     -0.54     -0.7     -0.37     -0.435     -0.215     -0.255     -0.32     -0.12     -0.146     -0.186     -0.251     -0.066     -0.092     -0.0045     -0.009     -0.011     -0.016     -0.022     -0.03     -0.044     -0.07     -0.11     -0.175     -0.28     -0.44     -0.7     -1.1     -1.75     -2.8     -4.4     -7     -11     -0.00225     -0.0045     -0.0055     -0.008     -0.011     -0.015     -0.022     -0.035     -0.055     -0.0875     -0.14     -0.22     -0.35     -0.55     -0.875     -1.4     -2.2     -3.5     -5.5     0     0     0.026     0.044     0.044     0.078     0.078     0.155     0.155     0.31     0.31     0.45     0.45     0.45     0.66     0.66     0.66     0.82     0.82
630~710     E     1.14     0.93     E     0.61     0.79     0.415     0.49     0.24     0.285     0.36     0.16     0.205     0.28     0.074     0.104     0.005     0.01     0.013     0.018     0.025     0.035     0.05     0.08     0.125     0.2     0.32     0.5     0.8     1.25     2     3.2     5     8     12.5     0.0025     0.005     0.0065     0.009     0.0125     0.0175     0.025     0.04     0.0625     0.1     0.16     0.25     0.4     0.625     1     1.6     2.5     4     6.25     0     0     -0.03     -0.03     -0.05     -0.05     -0.088     -0.175     -0.34     -0.5     -0.74     E     -0.64     E     -0.43     -0.29     -0.29     -0.29     -0.29     -0.16     -0.16     -0.16     -0.08     -0.08     -0.08     -0.08     -0.024     -0.024     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0.0025     0.005     0.0065     0.009     0.0125     0.0175     0.025     0.04     0.0625     0.1     0.16     0.25     0.4     0.625     1     1.6     2.5     4     6.25     0.05     0.08     0.08     0.1     0.13     0.138     0.168     0.225     0.255     0.39     0.42     0.55     0.58     0.625     0.79     0.82     0.865     1     1.045
630~710     E     0.64     0.43     E     0.29     0.29     0.29     0.29     0.16     0.16     0.16     0.08     0.08     0.08     0.024     0.024     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     -0.0025     -0.005     -0.0065     -0.009     -0.0125     -0.0175     -0.025     -0.04     -0.0625     -0.1     -0.16     -0.25     -0.4     -0.625     -1     -1.6     -2.5     -4     -6.25     -0.05     -0.08     -0.08     -0.11     -0.1     -0.13     -0.168     -0.255     -0.42     -0.58     -0.865     E     -1.14     E     -0.93     -0.61     -0.79     -0.415     -0.49     -0.24     -0.285     -0.36     -0.13     -0.16     -0.205     -0.28     -0.074     -0.104     -0.005     -0.01     -0.013     -0.018     -0.025     -0.035     -0.05     -0.08     -0.125     -0.2     -0.32     -0.5     -0.8     -1.25     -2     -3.2     -5     -8     -12.5     -0.0025     -0.005     -0.0065     -0.009     -0.0125     -0.0175     -0.025     -0.04     -0.0625     -0.1     -0.16     -0.25     -0.4     -0.625     -1     -1.6     -2.5     -4     -6.25     0     0     0.03     0.05     0.05     0.088     0.088     0.175     0.175     0.34     0.34     0.5     0.5     0.5     0.74     0.74     0.74     0.92     0.92
710~800     E     1.2     0.95     E     0.61     0.79     0.415     0.49     0.24     0.285     0.36     0.16     0.205     0.28     0.074     0.104     0.005     0.01     0.013     0.018     0.025     0.035     0.05     0.08     0.125     0.2     0.32     0.5     0.8     1.25     2     3.2     5     8     12.5     0.0025     0.005     0.0065     0.009     0.0125     0.0175     0.025     0.04     0.0625     0.1     0.16     0.25     0.4     0.625     1     1.6     2.5     4     6.25     0     0     -0.03     -0.03     -0.05     -0.05     -0.088     -0.185     -0.38     -0.56     -0.84     E     -0.7     E     -0.45     -0.29     -0.29     -0.29     -0.29     -0.16     -0.16     -0.16     -0.08     -0.08     -0.08     -0.08     -0.024     -0.024     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0.0025     0.005     0.0065     0.009     0.0125     0.0175     0.025     0.04     0.0625     0.1     0.16     0.25     0.4     0.625     1     1.6     2.5     4     6.25     0.05     0.08     0.08     0.1     0.13     0.138     0.168     0.235     0.265     0.43     0.46     0.61     0.64     0.685     0.89     0.92     0.965     1.08     1.125
710~800     E     0.7     0.45     E     0.29     0.29     0.29     0.29     0.16     0.16     0.16     0.08     0.08     0.08     0.024     0.024     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     -0.0025     -0.005     -0.0065     -0.009     -0.0125     -0.0175     -0.025     -0.04     -0.0625     -0.1     -0.16     -0.25     -0.4     -0.625     -1     -1.6     -2.5     -4     -6.25     -0.05     -0.08     -0.08     -0.11     -0.1     -0.13     -0.168     -0.265     -0.46     -0.64     -0.965     E     -1.2     E     -0.95     -0.61     -0.79     -0.415     -0.49     -0.24     -0.285     -0.36     -0.13     -0.16     -0.205     -0.28     -0.074     -0.104     -0.005     -0.01     -0.013     -0.018     -0.025     -0.035     -0.05     -0.08     -0.125     -0.2     -0.32     -0.5     -0.8     -1.25     -2     -3.2     -5     -8     -12.5     -0.0025     -0.005     -0.0065     -0.009     -0.0125     -0.0175     -0.025     -0.04     -0.0625     -0.1     -0.16     -0.25     -0.4     -0.625     -1     -1.6     -2.5     -4     -6.25     0     0     0.03     0.05     0.05     0.088     0.088     0.185     0.185     0.38     0.38     0.56     0.56     0.56     0.84     0.84     0.84     1     1
800~900     E     1.34     1.06     E     0.68     0.88     0.46     0.55     0.26     0.31     0.4     0.176     0.226     0.316     0.082     0.116     0.0055     0.011     0.015     0.021     0.029     0.04     0.056     0.09     0.14     0.23     0.36     0.56     0.9     1.4     2.3     3.6     5.6     9     14     0.00275     0.0055     0.0075     0.0105     0.0145     0.02     0.028     0.045     0.07     0.115     0.18     0.28     0.45     0.7     1.15     1.8     2.8     4.5     7     0     0     -0.034     -0.034     -0.056     -0.056     -0.1     -0.21     -0.43     -0.62     -0.94     E     -0.78     E     -0.5     -0.32     -0.32     -0.32     -0.32     -0.17     -0.17     -0.17     -0.086     -0.086     -0.086     -0.086     -0.026     -0.026     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0.00275     0.0055     0.0075     0.0105     0.0145     0.02     0.028     0.045     0.07     0.115     0.18     0.28     0.45     0.7     1.15     1.8     2.8     4.5     7     0.056     0.09     0.09     0.112     0.146     0.156     0.19     0.266     0.3     0.486     0.52     0.676     0.71     0.76     0.996     1.03     1.08     1.24     1.29
