!
!
! Shaft  g  6
! Hole   H  7
!
Key               D_6      D_7      D_8       D_9       D_10      D_11      D_12      D_13     E_5      E_6      E_7       E_8       E_9      E_10     F_3      F_4      F_5       F_6       F_7      F_8      F_9      F_10    G_3      G_4      G_5       G_6       G_7      G_8      G_9      G_10    H_1      H_2      H_3       H_4       H_5      H_6      H_7      H_8      H_9      H_10      H_11      H_12      H_13      H_14      H_15      H_16      H_17      H_18      JS_1      JS_2      JS_3       JS_4       JS_5      JS_6      JS_7      JS_8     JS_9     JS_10     JS_11     JS_12     JS_13     JS_14     JS_15     JS_16     JS_17     JS_18     K_3      K_4      K_5       K_6       K_7      K_8      K_9      K_10    M_3      M_4      M_5       M_6       M_7      M_8      M_9      M_10    N_3      N_4      N_5       N_6       N_7      N_8      N_9      N_10      N_11    P_3      P_4      P_5       P_6       P_7      P_8      P_9      P_10    R_6      R_7      R_8      S_6      S_7      S_8      T_6      T_7      T_8      U_6      U_7      U_8      d_5      d_6      d_7       d_8       d_9      d_10      d_11      d_12      d_13    e_5      e_6      e_7       e_8       e_9      e_10     f_3      f_4      f_5       f_6       f_7      f_8      f_9      f_10    g_3      g_4      g_5       g_6       g_7      g_8      g_9      g_10    h_1      h_2      h_3       h_4       h_5      h_6      h_7      h_8     h_9     h_10     h_11     h_12     h_13     h_14     h_15     h_16     h_17     h_18      js_1      js_2      js_3       js_4       js_5      js_6      js_7      js_8     js_9     js_10     js_11     js_12     js_13     js_14     js_15     js_16     js_17     js_18     k_3      k_4      k_5       k_6       k_7      k_8      k_9      k_10      k_11      k_12      k_13     m_3      m_4      m_5       m_6       m_7      m_8      m_9    n_3      n_4      n_5       n_6       n_7      n_8      n_9    p_3      p_4      p_5       p_6       p_7      p_8      p_9      p_10    r_6      r_7      r_8      s_6      s_7      s_8      t_6      t_7      u_6      u_7      u_8  
Basic size(mm)
500~560           0.304    0.330    0.370     0.435     0.540     0.700     0.960     1.360    E        0.189    0.215     0.255     0.320    0.425    E        E        E         0.120     0.146    0.186    0.251    E       E        E        E         0.066     0.092    0.132    E        E       0.009    0.011    0.016     0.022     0.032    0.044    0.070    0.110    0.175    0.280     0.440     0.700     1.100     1.750     2.800     4.400     7.000     11.000    0.0045    0.0055    0.008      0.011      0.016     0.022     0.035     0.055    0.0875   0.140     0.220     0.350     0.550     0.875     1.400     2.200     3.500     5.500     E        E        E         0         0        0        E        E       E        E        E        -0.026    -0.026   -0.026    E        E       E        E        E        -0.044    -0.044   -0.044   -0.044    E         E       E        E        E        -0.078    -0.078   -0.078   -0.078    E      -0.150   -0.150   -0.150   -0.280   -0.280   -0.280   -0.400   -0.400   -0.400   -0.600   -0.600   -0.600    E        E       -0.260    -0.260    -0.260   -0.260    -0.260     E         E       E       -0.145   -0.145    -0.145    -0.145   -0.145    E        E        E        -0.076    -0.076   -0.076   -0.076    E       E        E        E        -0.022    -0.022   -0.022    E        E       0        0        0         0         0        0        0        0       0       0        0        0        0        0        0        0        0        0         0.0045    0.0055    0.008      0.011      0.016     0.022     0.035     0.055    0.0875   0.140     0.220     0.350     0.550     0.875     1.400     2.200     3.500     5.500     E        E        E         0.044     0.070    0.110    0.175    0.280     0.440     0.700     1.100    E        E        E         0.070     0.096    E        E      E        E        E         0.088     0.114    E        E      E        E        E         0.122     0.148    0.188    E        E       0.194    0.220    0.260    0.324    0.350    0.390    0.444    0.470    0.644    0.670    0.710
500~560           0.260    0.260    0.260     0.260     0.260     0.260     0.260     0.260    E        0.145    0.145     0.145     0.145    0.145    E        E        E         0.076     0.076    0.076    0.076    E       E        E        E         0.022     0.022    0.022    E        E       0        0        0         0         0        0        0        0        0        0         0         0         0         0         0         0         0         0        -0.0045   -0.0055   -0.008     -0.011     -0.016    -0.022    -0.035    -0.055   -0.0875  -0.140    -0.220    -0.350    -0.550    -0.875    -1.400    -2.200    -3.500    -5.500     E        E        E        -0.044    -0.070   -0.110    E        E       E        E        E        -0.070    -0.096   -0.136    E        E       E        E        E        -0.088    -0.114   -0.154   -0.219    E         E       E        E        E        -0.122    -0.148   -0.188   -0.253    E      -0.194   -0.220   -0.260   -0.324   -0.350   -0.390   -0.444   -0.470   -0.510   -0.644   -0.670   -0.710    E        E       -0.330    -0.370    -0.435   -0.540    -0.700     E         E       E       -0.189   -0.215    -0.255    -0.320   -0.425    E        E        E        -0.120    -0.146   -0.186   -0.251    E       E        E        E        -0.066    -0.092   -0.132    E        E      -0.009   -0.011   -0.016    -0.022    -0.032   -0.044   -0.070   -0.110  -0.175  -0.280   -0.440   -0.700   -1.100   -1.750   -2.800   -4.400   -7.000   -11.000   -0.0045   -0.0055   -0.008     -0.011     -0.016    -0.022    -0.035    -0.055   -0.0875  -0.140    -0.220    -0.350    -0.550    -0.875    -1.400    -2.200    -3.500    -5.500     E        E        E         0         0        0        0        0         0         0         0        E        E        E         0.026     0.026    E        E      E        E        E         0.044     0.044    E        E      E        E        E         0.078     0.078    0.078    E        E       0.150    0.150    0.150    0.280    0.280    0.280    0.400    0.400    0.600    0.600    0.600
560~630           0.304    0.330    0.370     0.435     0.540     0.700     0.960     1.360    E        0.189    0.215     0.255     0.320    0.425    E        E        E         0.120     0.146    0.186    0.251    E       E        E        E         0.066     0.092    0.132    E        E       0.009    0.011    0.016     0.022     0.032    0.044    0.070    0.110    0.175    0.280     0.440     0.700     1.100     1.750     2.800     4.400     7.000     11.000    0.0045    0.0055    0.008      0.011      0.016     0.022     0.035     0.055    0.0875   0.140     0.220     0.350     0.550     0.875     1.400     2.200     3.500     5.500     E        E        E         0         0        0        E        E       E        E        E        -0.026    -0.026   -0.026    E        E       E        E        E        -0.044    -0.044   -0.044   -0.044    E         E       E        E        E        -0.078    -0.078   -0.078   -0.078    E      -0.155   -0.155   -0.155   -0.310   -0.310   -0.310   -0.450   -0.450   -0.450   -0.660   -0.660   -0.660    E        E       -0.260    -0.260    -0.260   -0.260    -0.260     E         E       E       -0.145   -0.145    -0.145    -0.145   -0.145    E        E        E        -0.076    -0.076   -0.076   -0.076    E       E        E        E        -0.022    -0.022   -0.022    E        E       0        0        0         0         0        0        0        0       0       0        0        0        0        0        0        0        0        0         0.0045    0.0055    0.008      0.011      0.016     0.022     0.035     0.055    0.0875   0.140     0.220     0.350     0.550     0.875     1.400     2.200     3.500     5.500     E        E        E         0.044     0.070    0.110    0.175    0.280     0.440     0.700     1.100    E        E        E         0.070     0.096    E        E      E        E        E         0.088     0.114    E        E      E        E        E         0.122     0.148    0.188    E        E       0.199    0.225    0.265    0.354    0.380    0.420    0.494    0.520    0.704    0.730    0.770
560~630           0.260    0.260    0.260     0.260     0.260     0.260     0.260     0.260    E        0.145    0.145     0.145     0.145    0.145    E        E        E         0.076     0.076    0.076    0.076    E       E        E        E         0.022     0.022    0.022    E        E       0        0        0         0         0        0        0        0        0        0         0         0         0         0         0         0         0         0        -0.0045   -0.0055   -0.008     -0.011     -0.016    -0.022    -0.035    -0.055   -0.0875  -0.140    -0.220    -0.350    -0.550    -0.875    -1.400    -2.200    -3.500    -5.500     E        E        E        -0.044    -0.070   -0.110    E        E       E        E        E        -0.070    -0.096   -0.136    E        E       E        E        E        -0.088    -0.114   -0.154   -0.219    E         E       E        E        E        -0.122    -0.148   -0.188   -0.253    E      -0.199   -0.225   -0.265   -0.354   -0.380   -0.420   -0.494   -0.520   -0.560   -0.704   -0.730   -0.770    E        E       -0.330    -0.370    -0.435   -0.540    -0.700     E         E       E       -0.189   -0.215    -0.255    -0.320   -0.425    E        E        E        -0.120    -0.146   -0.186   -0.251    E       E        E        E        -0.066    -0.092   -0.132    E        E      -0.009   -0.011   -0.016    -0.022    -0.032   -0.044   -0.070   -0.110  -0.175  -0.280   -0.440   -0.700   -1.100   -1.750   -2.800   -4.400   -7.000   -11.000   -0.0045   -0.0055   -0.008     -0.011     -0.016    -0.022    -0.035    -0.055   -0.0875  -0.140    -0.220    -0.350    -0.550    -0.875    -1.400    -2.200    -3.500    -5.500     E        E        E         0         0        0        0        0         0         0         0        E        E        E         0.026     0.026    E        E      E        E        E         0.044     0.044    E        E      E        E        E         0.078     0.078    0.078    E        E       0.155    0.155    0.155    0.310    0.310    0.310    0.450    0.450    0.660    0.660    0.660
630~710           0.340    0.370    0.415     0.490     0.610     0.790     1.090     1.540    E        0.210    0.240     0.285     0.360    0.480    E        E        E         0.130     0.160    0.205    0.280    E       E        E        E         0.074     0.104    0.149    E        E       0.010    0.013    0.018     0.025     0.036    0.050    0.080    0.125    0.200    0.320     0.500     0.800     1.250     2.000     3.200     5.000     8.000     12.500    0.005     0.0065    0.009      0.0125     0.018     0.025     0.040     0.0625   0.100    0.160     0.250     0.400     0.625     1.000     1.600     2.500     4.000     6.250     E        E        E         0         0        0        E        E       E        E        E        -0.030    -0.030   -0.030    E        E       E        E        E        -0.050    -0.050   -0.050   -0.050    E         E       E        E        E        -0.088    -0.088   -0.088   -0.088    E      -0.175   -0.175   -0.175   -0.340   -0.340   -0.340   -0.500   -0.500   -0.500   -0.740   -0.740   -0.740    E        E       -0.290    -0.290    -0.290   -0.290    -0.290     E         E       E       -0.160   -0.160    -0.160    -0.160   -0.160    E        E        E        -0.080    -0.080   -0.080   -0.080    E       E        E        E        -0.024    -0.024   -0.024    E        E       0        0        0         0         0        0        0        0       0       0        0        0        0        0        0        0        0        0         0.005     0.0065    0.009      0.0125     0.018     0.025     0.040     0.0625   0.100    0.160     0.250     0.400     0.625     1.000     1.600     2.500     4.000     6.250     E        E        E         0.050     0.080    0.125    0.200    0.320     0.500     0.800     1.250    E        E        E         0.080     0.110    E        E      E        E        E         0.100     0.130    E        E      E        E        E         0.138     0.168    0.213    E        E       0.225    0.255    0.300    0.390    0.420    0.465    0.550    0.580    0.790    0.820    0.865
630~710           0.290    0.290    0.290     0.290     0.290     0.290     0.290     0.290    E        0.160    0.160     0.160     0.160    0.160    E        E        E         0.080     0.080    0.080    0.080    E       E        E        E         0.024     0.024    0.024    E        E       0        0        0         0         0        0        0        0        0        0         0         0         0         0         0         0         0         0        -0.005    -0.0065   -0.009     -0.0125    -0.018    -0.025    -0.040    -0.0625  -0.100   -0.160    -0.250    -0.400    -0.625    -1.000    -1.600    -2.500    -4.000    -6.250     E        E        E        -0.050    -0.080   -0.125    E        E       E        E        E        -0.080    -0.110   -0.155    E        E       E        E        E        -0.100    -0.130   -0.175   -0.250    E         E       E        E        E        -0.138    -0.168   -0.213   -0.288    E      -0.225   -0.255   -0.300   -0.390   -0.420   -0.465   -0.550   -0.580   -0.625   -0.790   -0.820   -0.865    E        E       -0.370    -0.415    -0.490   -0.610    -0.790     E         E       E       -0.210   -0.240    -0.285    -0.360   -0.480    E        E        E        -0.130    -0.160   -0.205   -0.280    E       E        E        E        -0.074    -0.104   -0.149    E        E      -0.010   -0.013   -0.018    -0.025    -0.036   -0.050   -0.080   -0.125  -0.200  -0.320   -0.500   -0.800   -1.250   -2.000   -3.200   -5.000   -8.000   -12.500   -0.005    -0.0065   -0.009     -0.0125    -0.018    -0.025    -0.040    -0.0625  -0.100   -0.160    -0.250    -0.400    -0.625    -1.000    -1.600    -2.500    -4.000    -6.250     E        E        E         0         0        0        0        0         0         0         0        E        E        E         0.030     0.030    E        E      E        E        E         0.050     0.050    E        E      E        E        E         0.088     0.088    0.088    E        E       0.175    0.175    0.175    0.340    0.340    0.340    0.500    0.500    0.740    0.740    0.740
710~800           0.340    0.370    0.415     0.490     0.610     0.790     1.090     1.540    E        0.210    0.240     0.285     0.360    0.480    E        E        E         0.130     0.160    0.205    0.280    E       E        E        E         0.074     0.104    0.149    E        E       0.010    0.013    0.018     0.025     0.036    0.050    0.080    0.125    0.200    0.320     0.500     0.800     1.250     2.000     3.200     5.000     8.000     12.500    0.005     0.0065    0.009      0.0125     0.018     0.025     0.040     0.0625   0.100    0.160     0.250     0.400     0.625     1.000     1.600     2.500     4.000     6.250     E        E        E         0         0        0        E        E       E        E        E        -0.030    -0.030   -0.030    E        E       E        E        E        -0.050    -0.050   -0.050   -0.050    E         E       E        E        E        -0.088    -0.088   -0.088   -0.088    E      -0.185   -0.185   -0.185   -0.380   -0.380   -0.380   -0.560   -0.560   -0.560   -0.840   -0.840   -0.840    E        E       -0.290    -0.290    -0.290   -0.290    -0.290     E         E       E       -0.160   -0.160    -0.160    -0.160   -0.160    E        E        E        -0.080    -0.080   -0.080   -0.080    E       E        E        E        -0.024    -0.024   -0.024    E        E       0        0        0         0         0        0        0        0       0       0        0        0        0        0        0        0        0        0         0.005     0.0065    0.009      0.0125     0.018     0.025     0.040     0.0625   0.100    0.160     0.250     0.400     0.625     1.000     1.600     2.500     4.000     6.250     E        E        E         0.050     0.080    0.125    0.200    0.320     0.500     0.800     1.250    E        E        E         0.080     0.110    E        E      E        E        E         0.100     0.130    E        E      E        E        E         0.138     0.168    0.213    E        E       0.235    0.265    0.310    0.430    0.460    0.505    0.610    0.640    0.890    0.920    0.965
710~800           0.290    0.290    0.290     0.290     0.290     0.290     0.290     0.290    E        0.160    0.160     0.160     0.160    0.160    E        E        E         0.080     0.080    0.080    0.080    E       E        E        E         0.024     0.024    0.024    E        E       0        0        0         0         0        0        0        0        0        0         0         0         0         0         0         0         0         0        -0.005    -0.0065   -0.009     -0.0125    -0.018    -0.025    -0.040    -0.0625  -0.100   -0.160    -0.250    -0.400    -0.625    -1.000    -1.600    -2.500    -4.000    -6.250     E        E        E        -0.050    -0.080   -0.125    E        E       E        E        E        -0.080    -0.110   -0.155    E        E       E        E        E        -0.100    -0.130   -0.175   -0.250    E         E       E        E        E        -0.138    -0.168   -0.213   -0.288    E      -0.235   -0.265   -0.310   -0.430   -0.460   -0.505   -0.610   -0.640   -0.685   -0.890   -0.920   -0.965    E        E       -0.370    -0.415    -0.490   -0.610    -0.790     E         E       E       -0.210   -0.240    -0.285    -0.360   -0.480    E        E        E        -0.130    -0.160   -0.205   -0.280    E       E        E        E        -0.074    -0.104   -0.149    E        E      -0.010   -0.013   -0.018    -0.025    -0.036   -0.050   -0.080   -0.125  -0.200  -0.320   -0.500   -0.800   -1.250   -2.000   -3.200   -5.000   -8.000   -12.500   -0.005    -0.0065   -0.009     -0.0125    -0.018    -0.025    -0.040    -0.0625  -0.100   -0.160    -0.250    -0.400    -0.625    -1.000    -1.600    -2.500    -4.000    -6.250     E        E        E         0         0        0        0        0         0         0         0        E        E        E         0.030     0.030    E        E      E        E        E         0.050     0.050    E        E      E        E        E         0.088     0.088    0.088    E        E       0.185    0.185    0.185    0.380    0.380    0.380    0.560    0.560    0.840    0.840    0.840
800~900           0.376    0.410    0.460     0.550     0.680     0.880     1.220     1.720    E        0.226    0.260     0.310     0.400    0.530    E        E        E         0.142     0.176    0.226    0.316    E       E        E        E         0.082     0.116    0.166    E        E       0.011    0.015    0.021     0.028     0.040    0.056    0.090    0.140    0.230    0.360     0.560     0.900     1.400     2.300     3.600     5.600     9.000     14.000    0.0055    0.0075    0.0105     0.014      0.020     0.028     0.045     0.070    0.115    0.180     0.280     0.450     0.700     1.150     1.800     2.800     4.500     7.000     E        E        E         0         0        0        E        E       E        E        E        -0.034    -0.034   -0.034    E        E       E        E        E        -0.056    -0.056   -0.056   -0.056    E         E       E        E        E        -0.100    -0.100   -0.100   -0.100    E      -0.210   -0.210   -0.210   -0.430   -0.430   -0.430   -0.620   -0.620   -0.620   -0.940   -0.940   -0.940    E        E       -0.320    -0.320    -0.320   -0.320    -0.320     E         E       E       -0.170   -0.170    -0.170    -0.170   -0.170    E        E        E        -0.086    -0.086   -0.086   -0.086    E       E        E        E        -0.026    -0.026   -0.026    E        E       0        0        0         0         0        0        0        0       0       0        0        0        0        0        0        0        0        0         0.0055    0.0075    0.0105     0.014      0.020     0.028     0.045     0.070    0.115    0.180     0.280     0.450     0.700     1.150     1.800     2.800     4.500     7.000     E        E        E         0.056     0.090    0.140    0.230    0.360     0.560     0.900     1.400    E        E        E         0.090     0.124    E        E      E        E        E         0.112     0.146    E        E      E        E        E         0.156     0.190    0.240    E        E       0.266    0.300    0.350    0.486    0.520    0.570    0.676    0.710    0.996    1.030    1.080
